trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
150,0,150,0,10,240.6417537,240.6417537,0.018532,[0.43796296296296294],[-0.2601851851851852],[1],[0],[0],[1.3299877999997989],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
151,0,151,0,10,241.9930889,241.9930889,0.0183579,[-0.45092592592592595],[0.44166666666666665],[1],[0],[0],[1.7966808999990462],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
152,0,152,0,10,243.817246,243.817246,0.0239492,[-0.45555555555555555],[0.4638888888888889],[1],[0],[0],[1.2063065000002098],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
153,0,153,0,5,245.0327008,245.0327008,0.0094098,[0.2175925925925926],[0.041666666666666664],[1],[0],[0],[1.7393410999993648],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
154,0,154,0,10,246.797376,246.797376,0.0201071,[0.3712962962962963],[-0.45185185185185184],[1],[0],[0],[1.3595669000005728],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
155,0,155,0,5,248.1677034,248.1677034,0.0094724,[-0.1425925925925926],[-0.34074074074074073],[1],[0],[0],[1.7893133999987185],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
156,0,156,0,5,249.9691797,249.9691797,0.0099174,[-0.2796296296296296],[0.03888888888888889],[1],[0],[0],[1.0870438999991165],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
157,0,157,0,10,251.0811099,251.0811099,0.018823,[-0.09722222222222222],[0.10277777777777777],[1],[0],[0],[1.1619786999999633],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
158,0,158,0,10,252.2657289,252.2657289,0.019055,[0.23333333333333334],[0.23796296296296296],[1],[0],[0],[2.1444418000010046],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
159,0,159,0,10,254.4322251,254.4322251,0.0185418,[0.15648148148148147],[-0.4185185185185185],[1],[0],[0],[1.7113921999989543],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
160,0,160,0,10,256.163609,256.163609,0.0181168,[0.06481481481481481],[-0.2740740740740741],[1],[0],[0],[1.1800555999998323],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
161,0,161,0,5,257.3536464,257.3536464,0.0093925,[0.006481481481481481],[0.36666666666666664],[1],[0],[0],[1.3724302999999054],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
162,0,162,0,5,258.7397712,258.7397712,0.010014,[-0.45185185185185184],[-0.2175925925925926],[1],[0],[0],[2.1550521999997727],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
163,0,163,0,5,260.9086009,260.9086009,0.0110773,[-0.22592592592592592],[-0.21296296296296297],[1],[0],[0],[1.3516700999989553],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
164,0,164,0,5,262.2740001,262.2740001,0.0097719,[0.49537037037037035],[-0.08333333333333333],[1],[0],[0],[2.1542640999996365],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
165,0,165,0,10,264.4568317,264.4568317,0.0232552,[-0.11851851851851852],[0.04259259259259259],[1],[0],[0],[1.3066296999986662],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
166,0,166,0,10,265.784074,265.784074,0.0184793,[-0.0824074074074074],[0.16018518518518518],[1],[0],[0],[1.1799871000002895],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
167,0,167,0,5,266.9748449,266.9748449,0.0098548,[0.37407407407407406],[0.35555555555555557],[1],[0],[0],[1.722214299999905],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
168,0,168,0,5,268.7095843,268.7095843,0.0098215,[0.43148148148148147],[-0.10555555555555556],[1],[0],[0],[1.5213621000002604],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
169,0,169,0,5,270.2443463,270.2443463,0.0098672,[0.42407407407407405],[0.4583333333333333],[1],[0],[0],[1.2210594999996829],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
170,0,170,0,10,271.4905361,271.4905361,0.0186989,[0.05740740740740741],[0.1361111111111111],[1],[0],[0],[1.4443862999996782],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
171,0,171,0,5,272.9451838,272.9451838,0.0100475,[0.4583333333333333],[0.007407407407407408],[1],[0],[0],[1.50323600000047],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
172,0,172,0,5,274.4642907,274.4642907,0.0120227,[-0.09259259259259259],[0.1259259259259259],[1],[0],[0],[1.401307899999665],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
173,0,173,0,5,275.878413,275.878413,0.0097579,[-0.49074074074074076],[0.3907407407407407],[1],[0],[0],[1.5219608999996126],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
174,0,174,0,10,277.4234595,277.4234595,0.0182279,[0.1388888888888889],[0.3388888888888889],[1],[0],[0],[1.328970600001412],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
175,0,175,0,5,278.7621161,278.7621161,0.0090889,[-0.31296296296296294],[0.45092592592592595],[1],[0],[0],[1.2736449000003631],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
176,0,176,0,10,280.0648053,280.0648053,0.0227789,[-0.2101851851851852],[0.2361111111111111],[1],[0],[0],[1.155312099999719],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
177,0,177,0,10,281.2423714,281.2423714,0.0188928,[0.032407407407407406],[-0.39814814814814814],[1],[0],[0],[1.6442046000011032],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
178,0,178,0,10,282.9079412,282.9079412,0.0187769,[-0.3212962962962963],[-0.24444444444444444],[1],[0],[0],[1.7974002999999357],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
179,0,179,0,10,284.7279948,284.7279948,0.0185443,[-0.42407407407407405],[0.023148148148148147],[1],[0],[0],[1.3446267999988777],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
180,0,180,0,10,286.101573,286.101573,0.0229094,[0.26666666666666666],[-0.3824074074074074],[1],[0],[0],[1.5387098000010155],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
181,0,181,0,10,287.6593621,287.6593621,0.0182557,[-0.4759259259259259],[-0.058333333333333334],[1],[0],[0],[1.229992200000197],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
182,0,182,0,10,288.9100634,288.9100634,0.0181419,[0.19722222222222222],[-0.4064814814814815],[1],[0],[0],[1.5125081999995018],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
183,0,183,0,10,290.4473238,290.4473238,0.021894,[0.3611111111111111],[0.35555555555555557],[1],[0],[0],[1.2097911999990174],[],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
184,0,184,0,5,291.6688417,291.6688417,0.011293,[-0.23703703703703705],[0.48055555555555557],[1],[0],[0],[1.2871009999998932],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
185,0,185,0,5,292.9703219,292.9703219,0.0115464,[-0.04537037037037037],[0.1287037037037037],[1],[0],[0],[1.469958099998621],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
186,0,186,0,5,294.459063,294.459063,0.0153114,[0.39814814814814814],[0.45185185185185184],[1],[0],[0],[1.28052629999911],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
